id,status,assignee,priority
TASK-0209,done,sam,high
TASK-0210,done,olivia,high
TASK-0211,blocked,tina,low
TASK-0212,open,alice,medium
TASK-0213,blocked,heidi,low
TASK-0214,done,karl,critical
TASK-0215,blocked,tina,high
TASK-0216,blocked,pat,critical
TASK-0217,blocked,quinn,low
TASK-0218,in-progress,dave,critical
TASK-0219,open,olivia,critical
TASK-0220,done,quinn,medium
TASK-0221,blocked,heidi,high
TASK-0222,review,rosa,medium
TASK-0223,in-progress,quinn,low
TASK-0224,done,alice,critical
TASK-0225,review,ivan,medium
TASK-0226,in-progress,rosa,low
TASK-0227,open,alice,medium
TASK-0228,in-progress,grace,critical
TASK-0229,blocked,ivan,high
TASK-0230,open,tina,high
TASK-0231,in-progress,nick,medium
TASK-0232,blocked,quinn,high
TASK-0233,open,mona,low
TASK-0234,review,quinn,high
TASK-0235,done,dave,medium
TASK-0236,in-progress,ivan,low
TASK-0237,open,mona,medium
TASK-0238,blocked,carol,low
TASK-0239,done,rosa,high
TASK-0240,blocked,mona,medium
TASK-0241,in-progress,frank,critical
TASK-0242,blocked,carol,low
TASK-0243,open,judy,medium
TASK-0244,in-progress,sam,medium
TASK-0245,review,liam,medium
TASK-0246,blocked,carol,critical
TASK-0247,open,sam,low
TASK-0248,done,heidi,critical
TASK-0249,in-progress,tina,high
TASK-0250,open,heidi,critical
TASK-0251,done,pat,medium
TASK-0252,blocked,frank,low
TASK-0253,review,pat,critical
TASK-0254,in-progress,frank,critical
TASK-0255,in-progress,sam,high
TASK-0256,blocked,eve,critical
TASK-0257,open,grace,high
TASK-0258,blocked,quinn,critical
TASK-0259,open,alice,critical
TASK-0260,open,pat,low
TASK-0261,review,sam,high
TASK-0262,done,ivan,low
TASK-0263,done,liam,low
TASK-0264,done,grace,low
TASK-0265,done,eve,low
TASK-0266,open,frank,low
TASK-0267,review,carol,medium
TASK-0268,in-progress,pat,high
TASK-0269,review,heidi,low
TASK-0270,open,carol,high
TASK-0271,open,ivan,medium
TASK-0272,blocked,sam,low
TASK-0273,done,dave,high
TASK-0274,blocked,alice,medium
TASK-0275,review,liam,high
TASK-0276,in-progress,heidi,critical
TASK-0277,blocked,alice,low
TASK-0278,in-progress,quinn,low
TASK-0279,blocked,liam,low
TASK-0280,in-progress,mona,high
TASK-0281,done,tina,low
TASK-0282,done,ivan,medium
TASK-0283,in-progress,eve,high
TASK-0284,done,judy,critical
TASK-0285,open,olivia,medium
TASK-0286,review,tina,low
TASK-0287,done,tina,low
TASK-0288,open,carol,medium
TASK-0289,review,olivia,high
TASK-0290,open,grace,critical
TASK-0291,open,dave,high
TASK-0292,in-progress,quinn,low
TASK-0293,done,eve,medium
TASK-0294,open,olivia,critical
TASK-0295,review,judy,low
TASK-0296,blocked,liam,low
TASK-0297,done,heidi,critical
TASK-0298,done,tina,high
TASK-0299,open,judy,high
TASK-0300,done,judy,high
TASK-0301,open,rosa,critical
TASK-0302,done,heidi,high
TASK-0303,review,frank,high
TASK-0304,open,heidi,critical
TASK-0305,open,sam,low
TASK-0306,open,bob,medium
TASK-0307,done,grace,low
TASK-0308,blocked,pat,medium
TASK-0309,open,quinn,low
TASK-0310,done,frank,low
TASK-0311,blocked,eve,critical
TASK-0312,open,eve,critical
TASK-0313,done,quinn,critical
TASK-0314,open,olivia,medium
TASK-0315,review,carol,high
TASK-0316,blocked,frank,low
TASK-0317,done,quinn,medium
TASK-0318,review,tina,low
TASK-0319,review,tina,high
TASK-0320,blocked,quinn,high
TASK-0321,in-progress,heidi,critical
TASK-0322,done,sam,medium
TASK-0323,open,heidi,critical
TASK-0324,review,quinn,critical
TASK-0325,in-progress,eve,medium
TASK-0326,in-progress,eve,high
TASK-0327,in-progress,heidi,critical
TASK-0328,review,liam,medium
TASK-0329,in-progress,olivia,critical
TASK-0330,blocked,eve,low
TASK-0331,in-progress,grace,critical
TASK-0332,open,ivan,medium
TASK-0333,open,mona,low
TASK-0334,review,pat,critical
TASK-0335,review,pat,medium
TASK-0336,review,bob,medium
TASK-0337,done,quinn,low
TASK-0338,done,rosa,high
TASK-0339,blocked,frank,critical
TASK-0340,review,olivia,critical
TASK-0341,blocked,sam,medium
TASK-0342,in-progress,quinn,low
TASK-0343,open,nick,high
TASK-0344,done,tina,critical
TASK-0345,done,tina,high
TASK-0346,blocked,mona,medium
TASK-0347,in-progress,nick,critical
TASK-0348,blocked,rosa,high
TASK-0349,done,carol,low
TASK-0350,done,quinn,medium
TASK-0351,in-progress,eve,low
TASK-0352,in-progress,grace,critical
TASK-0353,in-progress,sam,critical
TASK-0354,blocked,rosa,medium
TASK-0355,blocked,judy,high
TASK-0356,blocked,rosa,medium
TASK-0357,done,rosa,medium
TASK-0358,in-progress,grace,medium
TASK-0359,blocked,sam,low
TASK-0360,in-progress,judy,critical
TASK-0361,done,nick,high
TASK-0362,review,judy,medium
TASK-0363,open,frank,high
TASK-0364,blocked,karl,medium
TASK-0365,blocked,karl,low
TASK-0366,blocked,mona,medium
TASK-0367,review,olivia,critical
TASK-0368,blocked,alice,medium
TASK-0369,blocked,eve,critical
TASK-0370,open,karl,medium
TASK-0371,in-progress,grace,medium
TASK-0372,open,tina,medium
TASK-0373,blocked,heidi,critical
TASK-0374,open,mona,low
TASK-0375,in-progress,rosa,critical
TASK-0376,done,heidi,medium
TASK-0377,done,alice,high
TASK-0378,blocked,eve,critical
TASK-0379,done,sam,critical
TASK-0380,done,nick,critical
TASK-0381,done,dave,medium
TASK-0382,blocked,mona,critical
TASK-0383,done,rosa,medium
TASK-0384,done,liam,medium
TASK-0385,blocked,liam,low
TASK-0386,done,mona,low
TASK-0387,review,eve,low
TASK-0388,in-progress,nick,low
TASK-0389,done,tina,medium
TASK-0390,review,dave,medium
TASK-0391,blocked,carol,medium
TASK-0392,done,quinn,high
TASK-0393,blocked,ivan,critical
TASK-0394,blocked,carol,critical
TASK-0395,blocked,eve,low
TASK-0396,review,carol,low
TASK-0397,blocked,liam,low
TASK-0398,in-progress,mona,critical
TASK-0399,review,quinn,medium
TASK-0400,review,sam,high
TASK-0401,open,alice,medium
TASK-0402,blocked,carol,high
TASK-0403,in-progress,dave,low
TASK-0404,review,frank,critical
TASK-0405,done,carol,critical
TASK-0406,in-progress,tina,critical
TASK-0407,open,pat,medium
TASK-0408,done,pat,low
TASK-0409,review,judy,critical
TASK-0410,in-progress,frank,low
TASK-0411,done,carol,high
TASK-0412,review,pat,medium
TASK-0413,open,grace,high
TASK-0414,blocked,bob,medium
TASK-0415,in-progress,sam,high
TASK-0416,review,mona,high
TASK-0417,in-progress,nick,critical
TASK-0418,done,frank,critical
TASK-0419,done,pat,low
TASK-0420,open,tina,critical
TASK-0421,blocked,dave,high
TASK-0422,in-progress,pat,medium
TASK-0423,review,tina,high
TASK-0424,open,carol,medium
TASK-0425,in-progress,dave,low
TASK-0426,in-progress,grace,low
TASK-0427,review,grace,critical
TASK-0428,review,heidi,low
TASK-0429,review,alice,high
TASK-0430,open,nick,low
TASK-0431,done,pat,medium
TASK-0432,open,pat,high
TASK-0433,done,alice,medium
TASK-0434,blocked,grace,low
TASK-0435,review,liam,critical
TASK-0436,in-progress,heidi,critical
TASK-0437,blocked,quinn,critical
TASK-0438,open,mona,critical
TASK-0439,in-progress,quinn,low
TASK-0440,review,grace,medium
TASK-0441,blocked,quinn,medium
TASK-0442,done,liam,high
TASK-0443,review,frank,medium
TASK-0444,review,frank,low
TASK-0445,open,alice,critical
TASK-0446,review,pat,low
TASK-0447,open,judy,medium
TASK-0448,blocked,quinn,low
TASK-0449,done,grace,low
TASK-0450,review,liam,low
TASK-0451,in-progress,nick,low
TASK-0452,done,carol,low
TASK-0453,in-progress,frank,medium
TASK-0454,in-progress,alice,low
TASK-0455,done,frank,critical
TASK-0456,done,sam,critical
TASK-0457,in-progress,karl,medium
TASK-0458,review,judy,high
TASK-0459,review,liam,medium
TASK-0460,review,frank,critical
TASK-0461,in-progress,alice,medium
TASK-0462,open,heidi,high
TASK-0463,open,alice,critical
TASK-0464,open,judy,high
TASK-0465,in-progress,ivan,high
TASK-0466,blocked,alice,critical
TASK-0467,done,liam,low
TASK-0468,done,dave,low
TASK-0469,blocked,bob,low
TASK-0470,in-progress,rosa,medium
TASK-0471,open,mona,critical
TASK-0472,review,grace,low
TASK-0473,blocked,ivan,medium
TASK-0474,open,ivan,critical
TASK-0475,in-progress,mona,critical
TASK-0476,done,olivia,medium
TASK-0477,done,dave,critical
TASK-0478,in-progress,pat,low
TASK-0479,blocked,pat,low
TASK-0480,review,bob,critical
TASK-0481,done,dave,high
TASK-0482,blocked,carol,medium
TASK-0483,blocked,quinn,medium
TASK-0484,blocked,dave,medium
TASK-0485,done,grace,medium
TASK-0486,open,sam,low
TASK-0487,review,quinn,medium
TASK-0488,in-progress,alice,low
TASK-0489,blocked,nick,high
TASK-0490,done,nick,high
TASK-0491,done,heidi,low
TASK-0492,open,grace,high
TASK-0493,open,bob,critical
TASK-0494,in-progress,dave,critical
TASK-0495,blocked,mona,high
TASK-0496,blocked,bob,low
TASK-0497,review,pat,critical
TASK-0498,review,rosa,low
TASK-0499,review,carol,medium
TASK-0500,review,carol,critical
